Drug 1,Drug 2,Interaction Description,severity,desc_len
Azelastine,Pramipexole,Azelastine may increase the sedative activities of Pramipexole.,Moderada,63
Bromocriptine,Pramipexole,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Pramipexole.,Moderada,105
Olopatadine,Pramipexole,Olopatadine may increase the sedative activities of Pramipexole.,Moderada,64
Amiodarone,Pramipexole,The risk or severity of adverse effects can be increased when Amiodarone is combined with Pramipexole.,Moderada,102
Ziprasidone,Pramipexole,Ziprasidone may increase the sedative activities of Pramipexole.,Moderada,64
Quetiapine,Pramipexole,Quetiapine may increase the sedative activities of Pramipexole.,Moderada,63
Thioridazine,Pramipexole,Thioridazine may increase the sedative activities of Pramipexole.,Moderada,65
Methadone,Pramipexole,Methadone may increase the sedative activities of Pramipexole.,Moderada,62
Haloperidol,Pramipexole,Haloperidol may increase the sedative activities of Pramipexole.,Moderada,64
Clozapine,Pramipexole,Clozapine may increase the sedative activities of Pramipexole.,Moderada,62
Chlorpromazine,Pramipexole,Chlorpromazine may increase the sedative activities of Pramipexole.,Moderada,67
Promazine,Pramipexole,Promazine may increase the sedative activities of Pramipexole.,Moderada,62
Secobarbital,Pramipexole,Secobarbital may increase the sedative activities of Pramipexole.,Moderada,65
Tranylcypromine,Pramipexole,Tranylcypromine may increase the sedative activities of Pramipexole.,Moderada,68
Imipramine,Pramipexole,Imipramine may increase the sedative activities of Pramipexole.,Moderada,63
Clomipramine,Pramipexole,Clomipramine may increase the sedative activities of Pramipexole.,Moderada,65
Aripiprazole,Pramipexole,Aripiprazole may increase the sedative activities of Pramipexole.,Moderada,65
Morphine,Pramipexole,Morphine may increase the sedative activities of Pramipexole.,Moderada,61
Fluvoxamine,Pramipexole,Fluvoxamine may increase the sedative activities of Pramipexole.,Moderada,64
Desipramine,Pramipexole,Desipramine may increase the sedative activities of Pramipexole.,Moderada,64
Stiripentol,Pramipexole,Stiripentol may increase the sedative activities of Pramipexole.,Moderada,64
Efavirenz,Pramipexole,Efavirenz may increase the sedative activities of Pramipexole.,Moderada,62
Risperidone,Pramipexole,Risperidone may increase the sedative activities of Pramipexole.,Moderada,64
Amitriptyline,Pramipexole,Amitriptyline may increase the sedative activities of Pramipexole.,Moderada,66
Doxepin,Pramipexole,Doxepin may increase the sedative activities of Pramipexole.,Moderada,60
Clemastine,Pramipexole,Clemastine may increase the sedative activities of Pramipexole.,Moderada,63
Rifabutin,Eplerenone,The metabolism of Eplerenone can be increased when combined with Rifabutin.,Moderada,75
Phenytoin,Eplerenone,The metabolism of Eplerenone can be increased when combined with Phenytoin.,Moderada,75
Rifampicin,Eplerenone,The metabolism of Eplerenone can be increased when combined with Rifampicin.,Moderada,76
Fosphenytoin,Eplerenone,The metabolism of Eplerenone can be increased when combined with Fosphenytoin.,Moderada,78
Carbamazepine,Eplerenone,The metabolism of Eplerenone can be increased when combined with Carbamazepine.,Moderada,79
Primidone,Eplerenone,The metabolism of Eplerenone can be increased when combined with Primidone.,Moderada,75
Phenobarbital,Eplerenone,The metabolism of Eplerenone can be increased when combined with Phenobarbital.,Moderada,79
Pentobarbital,Eplerenone,The metabolism of Eplerenone can be increased when combined with Pentobarbital.,Moderada,79
Rifapentine,Eplerenone,The metabolism of Eplerenone can be increased when combined with Rifapentine.,Moderada,77
Bosentan,Eplerenone,The serum concentration of Eplerenone can be decreased when it is combined with Bosentan.,Moderada,89
Lumacaftor,Eplerenone,The metabolism of Eplerenone can be increased when combined with Lumacaftor.,Moderada,76
Betaxolol,Eplerenone,The risk or severity of adverse effects can be increased when Betaxolol is combined with Eplerenone.,Moderada,100
Oxprenolol,Eplerenone,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Eplerenone.,Moderada,101
Metoprolol,Eplerenone,The risk or severity of adverse effects can be increased when Metoprolol is combined with Eplerenone.,Moderada,101
Dabrafenib,Eplerenone,The serum concentration of Eplerenone can be decreased when it is combined with Dabrafenib.,Moderada,91
Deferasirox,Eplerenone,The serum concentration of Eplerenone can be decreased when it is combined with Deferasirox.,Moderada,92
Vemurafenib,Eplerenone,The serum concentration of Eplerenone can be decreased when it is combined with Vemurafenib.,Moderada,92
Bromocriptine,Eplerenone,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Eplerenone.,Moderada,104
Thioridazine,Eplerenone,The risk or severity of adverse effects can be increased when Thioridazine is combined with Eplerenone.,Moderada,103
Methadone,Eplerenone,The risk or severity of adverse effects can be increased when Methadone is combined with Eplerenone.,Moderada,100
Cyclosporine,Eplerenone,Cyclosporine may increase the hyperkalemic activities of Eplerenone.,Moderada,68
Clozapine,Eplerenone,The risk or severity of adverse effects can be increased when Clozapine is combined with Eplerenone.,Moderada,100
Chlorpromazine,Eplerenone,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Eplerenone.,Moderada,105
Secobarbital,Eplerenone,Secobarbital may increase the hypotensive activities of Eplerenone.,Moderada,67
Tranylcypromine,Eplerenone,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Eplerenone.,Moderada,106
Imipramine,Eplerenone,The risk or severity of adverse effects can be increased when Imipramine is combined with Eplerenone.,Moderada,101
Ropinirole,Eplerenone,The risk or severity of adverse effects can be increased when Ropinirole is combined with Eplerenone.,Moderada,101
Clomipramine,Eplerenone,The risk or severity of adverse effects can be increased when Clomipramine is combined with Eplerenone.,Moderada,103
Aripiprazole,Eplerenone,Aripiprazole may increase the hypotensive activities of Eplerenone.,Moderada,67
Morphine,Eplerenone,The risk or severity of adverse effects can be increased when Morphine is combined with Eplerenone.,Moderada,99
Nicardipine,Eplerenone,The risk or severity of adverse effects can be increased when Nicardipine is combined with Eplerenone.,Moderada,102
Losartan,Eplerenone,Losartan may increase the hyperkalemic activities of Eplerenone.,Moderada,64
Primidone,Empagliflozin,Primidone may increase the hypotensive activities of Empagliflozin.,Moderada,67
Phenobarbital,Empagliflozin,Phenobarbital may increase the hypotensive activities of Empagliflozin.,Moderada,71
Pentobarbital,Empagliflozin,Pentobarbital may increase the hypotensive activities of Empagliflozin.,Moderada,71
Bortezomib,Empagliflozin,The risk or severity of adverse effects can be increased when Bortezomib is combined with Empagliflozin.,Moderada,104
Betaxolol,Empagliflozin,The risk or severity of adverse effects can be increased when Betaxolol is combined with Empagliflozin.,Moderada,103
Nilotinib,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Nilotinib.,Moderada,99
Oxprenolol,Empagliflozin,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Empagliflozin.,Moderada,104
Metoprolol,Empagliflozin,The risk or severity of adverse effects can be increased when Metoprolol is combined with Empagliflozin.,Moderada,104
Indapamide,Empagliflozin,The risk or severity of adverse effects can be increased when Indapamide is combined with Empagliflozin.,Moderada,104
Dabrafenib,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Dabrafenib.,Moderada,100
Conivaptan,Empagliflozin,The risk or severity of adverse effects can be increased when Conivaptan is combined with Empagliflozin.,Moderada,104
Diltiazem,Empagliflozin,The risk or severity of adverse effects can be increased when Diltiazem is combined with Empagliflozin.,Moderada,103
Verapamil,Empagliflozin,The risk or severity of adverse effects can be increased when Verapamil is combined with Empagliflozin.,Moderada,103
Ceritinib,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Ceritinib.,Moderada,99
Sulfisoxazole,Empagliflozin,Sulfisoxazole may increase the hypoglycemic activities of Empagliflozin.,Moderada,72
Mifepristone,Empagliflozin,Mifepristone may increase the hypoglycemic activities of Empagliflozin.,Moderada,71
Quinine,Empagliflozin,Quinine may increase the hypoglycemic activities of Empagliflozin.,Moderada,66
Bromocriptine,Empagliflozin,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Empagliflozin.,Moderada,107
Lopinavir,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Lopinavir.,Moderada,99
Amiodarone,Empagliflozin,The risk or severity of adverse effects can be increased when Amiodarone is combined with Empagliflozin.,Moderada,104
Ziprasidone,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Ziprasidone.,Moderada,101
Saquinavir,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Saquinavir.,Moderada,100
Quetiapine,Empagliflozin,The risk or severity of adverse effects can be increased when Quetiapine is combined with Empagliflozin.,Moderada,104
Thioridazine,Empagliflozin,The risk or severity of adverse effects can be increased when Thioridazine is combined with Empagliflozin.,Moderada,106
Clozapine,Empagliflozin,The risk or severity of adverse effects can be increased when Clozapine is combined with Empagliflozin.,Moderada,103
Chlorpromazine,Empagliflozin,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Empagliflozin.,Moderada,108
Secobarbital,Empagliflozin,Secobarbital may increase the hypotensive activities of Empagliflozin.,Moderada,70
Imipramine,Empagliflozin,The risk or severity of adverse effects can be increased when Imipramine is combined with Empagliflozin.,Moderada,104
Ropinirole,Empagliflozin,The risk or severity of adverse effects can be increased when Ropinirole is combined with Empagliflozin.,Moderada,104
Clomipramine,Empagliflozin,The risk or severity of adverse effects can be increased when Clomipramine is combined with Empagliflozin.,Moderada,106
Aripiprazole,Empagliflozin,Aripiprazole may increase the hypotensive activities of Empagliflozin.,Moderada,70
Morphine,Empagliflozin,The risk or severity of adverse effects can be increased when Morphine is combined with Empagliflozin.,Moderada,102
Isradipine,Empagliflozin,The risk or severity of adverse effects can be increased when Isradipine is combined with Empagliflozin.,Moderada,104
Nicardipine,Empagliflozin,The risk or severity of adverse effects can be increased when Nicardipine is combined with Empagliflozin.,Moderada,105
Losartan,Empagliflozin,The risk or severity of adverse effects can be increased when Losartan is combined with Empagliflozin.,Moderada,102
Darunavir,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Darunavir.,Moderada,99
Indinavir,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Indinavir.,Moderada,99
Atazanavir,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Atazanavir.,Moderada,100
Nelfinavir,Empagliflozin,The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Nelfinavir.,Moderada,100
Primidone,Isoxsuprine,Primidone may increase the hypotensive activities of Isoxsuprine.,Moderada,65
Phenobarbital,Isoxsuprine,Phenobarbital may increase the hypotensive activities of Isoxsuprine.,Moderada,69
Pentobarbital,Isoxsuprine,Pentobarbital may increase the hypotensive activities of Isoxsuprine.,Moderada,69
Bortezomib,Isoxsuprine,The risk or severity of adverse effects can be increased when Bortezomib is combined with Isoxsuprine.,Moderada,102
Betaxolol,Isoxsuprine,The risk or severity of adverse effects can be increased when Betaxolol is combined with Isoxsuprine.,Moderada,101
Oxprenolol,Isoxsuprine,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Isoxsuprine.,Moderada,102
Metoprolol,Isoxsuprine,The risk or severity of adverse effects can be increased when Metoprolol is combined with Isoxsuprine.,Moderada,102
Indapamide,Isoxsuprine,The risk or severity of adverse effects can be increased when Indapamide is combined with Isoxsuprine.,Moderada,102
Conivaptan,Isoxsuprine,The risk or severity of adverse effects can be increased when Conivaptan is combined with Isoxsuprine.,Moderada,102
Diltiazem,Isoxsuprine,The risk or severity of adverse effects can be increased when Diltiazem is combined with Isoxsuprine.,Moderada,101
Verapamil,Isoxsuprine,The risk or severity of adverse effects can be increased when Verapamil is combined with Isoxsuprine.,Moderada,101
Bromocriptine,Isoxsuprine,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Isoxsuprine.,Moderada,105
Amiodarone,Isoxsuprine,The risk or severity of adverse effects can be increased when Amiodarone is combined with Isoxsuprine.,Moderada,102
Quetiapine,Isoxsuprine,The risk or severity of adverse effects can be increased when Quetiapine is combined with Isoxsuprine.,Moderada,102
Thioridazine,Isoxsuprine,The risk or severity of adverse effects can be increased when Thioridazine is combined with Isoxsuprine.,Moderada,104
Clozapine,Isoxsuprine,The risk or severity of adverse effects can be increased when Clozapine is combined with Isoxsuprine.,Moderada,101
Chlorpromazine,Isoxsuprine,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Isoxsuprine.,Moderada,106
Secobarbital,Isoxsuprine,Secobarbital may increase the hypotensive activities of Isoxsuprine.,Moderada,68
Tranylcypromine,Isoxsuprine,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Isoxsuprine.,Moderada,107
Imipramine,Isoxsuprine,The risk or severity of adverse effects can be increased when Imipramine is combined with Isoxsuprine.,Moderada,102
Ropinirole,Isoxsuprine,The risk or severity of adverse effects can be increased when Ropinirole is combined with Isoxsuprine.,Moderada,102
Clomipramine,Isoxsuprine,The risk or severity of adverse effects can be increased when Clomipramine is combined with Isoxsuprine.,Moderada,104
Aripiprazole,Isoxsuprine,Aripiprazole may increase the hypotensive activities of Isoxsuprine.,Moderada,68
Morphine,Isoxsuprine,The risk or severity of adverse effects can be increased when Morphine is combined with Isoxsuprine.,Moderada,100
Isradipine,Isoxsuprine,The risk or severity of adverse effects can be increased when Isradipine is combined with Isoxsuprine.,Moderada,102
Nicardipine,Isoxsuprine,The risk or severity of adverse effects can be increased when Nicardipine is combined with Isoxsuprine.,Moderada,103
Losartan,Isoxsuprine,The risk or severity of adverse effects can be increased when Losartan is combined with Isoxsuprine.,Moderada,100
Venlafaxine,Isoxsuprine,Venlafaxine may increase the tachycardic activities of Isoxsuprine.,Moderada,67
Rifabutin,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Rifabutin.,Moderada,85
Phenytoin,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Phenytoin.,Moderada,85
Rifampicin,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Rifampicin.,Moderada,86
Fosphenytoin,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Fosphenytoin.,Moderada,88
Carbamazepine,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Carbamazepine.,Moderada,89
Primidone,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Primidone.,Moderada,85
Phenobarbital,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Phenobarbital.,Moderada,89
Pentobarbital,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Pentobarbital.,Moderada,89
Nevirapine,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Nevirapine.,Moderada,86
Rifapentine,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Rifapentine.,Moderada,87
Bosentan,Isosorbide dinitrate,The serum concentration of Isosorbide dinitrate can be decreased when it is combined with Bosentan.,Moderada,99
Lumacaftor,Isosorbide dinitrate,The metabolism of Isosorbide dinitrate can be increased when combined with Lumacaftor.,Moderada,86
Betaxolol,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Betaxolol is combined with Isosorbide dinitrate.,Moderada,110
Oxprenolol,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Isosorbide dinitrate.,Moderada,111
Metoprolol,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Metoprolol is combined with Isosorbide dinitrate.,Moderada,111
Indapamide,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Indapamide is combined with Isosorbide dinitrate.,Moderada,111
Dabrafenib,Isosorbide dinitrate,The serum concentration of Isosorbide dinitrate can be decreased when it is combined with Dabrafenib.,Moderada,101
Deferasirox,Isosorbide dinitrate,The serum concentration of Isosorbide dinitrate can be decreased when it is combined with Deferasirox.,Moderada,102
Conivaptan,Isosorbide dinitrate,The serum concentration of Isosorbide dinitrate can be increased when it is combined with Conivaptan.,Moderada,101
Diltiazem,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Diltiazem is combined with Isosorbide dinitrate.,Moderada,110
Verapamil,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Verapamil is combined with Isosorbide dinitrate.,Moderada,110
Vemurafenib,Isosorbide dinitrate,The serum concentration of Isosorbide dinitrate can be decreased when it is combined with Vemurafenib.,Moderada,102
Bromocriptine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Isosorbide dinitrate.,Moderada,114
Thioridazine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Thioridazine is combined with Isosorbide dinitrate.,Moderada,113
Clozapine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Clozapine is combined with Isosorbide dinitrate.,Moderada,110
Chlorpromazine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Isosorbide dinitrate.,Moderada,115
Secobarbital,Isosorbide dinitrate,Secobarbital may increase the hypotensive activities of Isosorbide dinitrate.,Moderada,77
Tranylcypromine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Isosorbide dinitrate.,Moderada,116
Imipramine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Imipramine is combined with Isosorbide dinitrate.,Moderada,111
Ropinirole,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Ropinirole is combined with Isosorbide dinitrate.,Moderada,111
Clomipramine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Clomipramine is combined with Isosorbide dinitrate.,Moderada,113
Aripiprazole,Isosorbide dinitrate,Aripiprazole may increase the hypotensive activities of Isosorbide dinitrate.,Moderada,77
Morphine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Morphine is combined with Isosorbide dinitrate.,Moderada,109
Isradipine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Isradipine is combined with Isosorbide dinitrate.,Moderada,111
Nicardipine,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Nicardipine is combined with Isosorbide dinitrate.,Moderada,112
Losartan,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Losartan is combined with Isosorbide dinitrate.,Moderada,109
Primidone,Terazosin,Primidone may increase the hypotensive activities of Terazosin.,Moderada,63
Phenobarbital,Terazosin,Phenobarbital may increase the hypotensive activities of Terazosin.,Moderada,67
Pentobarbital,Terazosin,Pentobarbital may increase the hypotensive activities of Terazosin.,Moderada,67
Bortezomib,Terazosin,The risk or severity of adverse effects can be increased when Bortezomib is combined with Terazosin.,Moderada,100
Betaxolol,Terazosin,Betaxolol may increase the orthostatic hypotensive activities of Terazosin.,Moderada,75
Oxprenolol,Terazosin,Oxprenolol may increase the orthostatic hypotensive activities of Terazosin.,Moderada,76
Metoprolol,Terazosin,Metoprolol may increase the orthostatic hypotensive activities of Terazosin.,Moderada,76
Indapamide,Terazosin,The risk or severity of adverse effects can be increased when Indapamide is combined with Terazosin.,Moderada,100
Doxorubicin,Terazosin,The serum concentration of Terazosin can be increased when it is combined with Doxorubicin.,Moderada,91
Conivaptan,Terazosin,The risk or severity of adverse effects can be increased when Conivaptan is combined with Terazosin.,Moderada,100
Diltiazem,Terazosin,The risk or severity of adverse effects can be increased when Diltiazem is combined with Terazosin.,Moderada,99
Verapamil,Terazosin,The risk or severity of adverse effects can be increased when Verapamil is combined with Terazosin.,Moderada,99
Bromocriptine,Terazosin,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Terazosin.,Moderada,103
Ranolazine,Terazosin,The serum concentration of Terazosin can be increased when it is combined with Ranolazine.,Moderada,90
Amiodarone,Terazosin,The risk or severity of adverse effects can be increased when Amiodarone is combined with Terazosin.,Moderada,100
Thioridazine,Terazosin,The risk or severity of adverse effects can be increased when Thioridazine is combined with Terazosin.,Moderada,102
Clozapine,Terazosin,The risk or severity of adverse effects can be increased when Clozapine is combined with Terazosin.,Moderada,99
Chlorpromazine,Terazosin,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Terazosin.,Moderada,104
Secobarbital,Terazosin,Secobarbital may increase the hypotensive activities of Terazosin.,Moderada,66
Tranylcypromine,Terazosin,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Terazosin.,Moderada,105
Sildenafil,Terazosin,Sildenafil may increase the hypotensive activities of Terazosin.,Moderada,64
Imipramine,Terazosin,The risk or severity of adverse effects can be increased when Imipramine is combined with Terazosin.,Moderada,100
Ropinirole,Terazosin,The risk or severity of adverse effects can be increased when Ropinirole is combined with Terazosin.,Moderada,100
Clomipramine,Terazosin,The risk or severity of adverse effects can be increased when Clomipramine is combined with Terazosin.,Moderada,102
Aripiprazole,Terazosin,Aripiprazole may increase the hypotensive activities of Terazosin.,Moderada,66
Morphine,Terazosin,The risk or severity of adverse effects can be increased when Morphine is combined with Terazosin.,Moderada,98
Isradipine,Terazosin,The risk or severity of adverse effects can be increased when Isradipine is combined with Terazosin.,Moderada,100
Nicardipine,Terazosin,The risk or severity of adverse effects can be increased when Nicardipine is combined with Terazosin.,Moderada,101
Losartan,Terazosin,The risk or severity of adverse effects can be increased when Losartan is combined with Terazosin.,Moderada,98
Rifabutin,Canagliflozin,The metabolism of Canagliflozin can be increased when combined with Rifabutin.,Moderada,78
Phenytoin,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Phenytoin.,Moderada,93
Rifampicin,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Rifampicin.,Moderada,94
Fosphenytoin,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Fosphenytoin.,Moderada,96
Carbamazepine,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Carbamazepine.,Moderada,97
Primidone,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Primidone.,Moderada,93
Phenobarbital,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Phenobarbital.,Moderada,97
Pentobarbital,Canagliflozin,The metabolism of Canagliflozin can be increased when combined with Pentobarbital.,Moderada,82
Nevirapine,Canagliflozin,The metabolism of Canagliflozin can be increased when combined with Nevirapine.,Moderada,79
Rifapentine,Canagliflozin,The metabolism of Canagliflozin can be increased when combined with Rifapentine.,Moderada,80
Bosentan,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Bosentan.,Moderada,92
Lumacaftor,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Lumacaftor.,Moderada,94
Betaxolol,Canagliflozin,The risk or severity of adverse effects can be increased when Betaxolol is combined with Canagliflozin.,Moderada,103
Oxprenolol,Canagliflozin,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Canagliflozin.,Moderada,104
Metoprolol,Canagliflozin,The risk or severity of adverse effects can be increased when Metoprolol is combined with Canagliflozin.,Moderada,104
Indapamide,Canagliflozin,The risk or severity of adverse effects can be increased when Indapamide is combined with Canagliflozin.,Moderada,104
Doxorubicin,Canagliflozin,The serum concentration of Canagliflozin can be increased when it is combined with Doxorubicin.,Moderada,95
Dabrafenib,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Dabrafenib.,Moderada,94
Deferasirox,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Deferasirox.,Moderada,95
Conivaptan,Canagliflozin,The serum concentration of Canagliflozin can be increased when it is combined with Conivaptan.,Moderada,94
Diltiazem,Canagliflozin,The risk or severity of adverse effects can be increased when Diltiazem is combined with Canagliflozin.,Moderada,103
Verapamil,Canagliflozin,The risk or severity of adverse effects can be increased when Verapamil is combined with Canagliflozin.,Moderada,103
Quinine,Canagliflozin,Quinine may increase the hypoglycemic activities of Canagliflozin.,Moderada,66
Bromocriptine,Canagliflozin,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Canagliflozin.,Moderada,107
Ranolazine,Canagliflozin,The serum concentration of Canagliflozin can be increased when it is combined with Ranolazine.,Moderada,94
Quetiapine,Canagliflozin,The risk or severity of adverse effects can be increased when Quetiapine is combined with Canagliflozin.,Moderada,104
Thioridazine,Canagliflozin,The risk or severity of adverse effects can be increased when Thioridazine is combined with Canagliflozin.,Moderada,106
Clozapine,Canagliflozin,The risk or severity of adverse effects can be increased when Clozapine is combined with Canagliflozin.,Moderada,103
Chlorpromazine,Canagliflozin,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Canagliflozin.,Moderada,108
Secobarbital,Canagliflozin,Secobarbital may increase the hypotensive activities of Canagliflozin.,Moderada,70
Imipramine,Canagliflozin,The risk or severity of adverse effects can be increased when Imipramine is combined with Canagliflozin.,Moderada,104
Ropinirole,Canagliflozin,The risk or severity of adverse effects can be increased when Ropinirole is combined with Canagliflozin.,Moderada,104
Clomipramine,Canagliflozin,The risk or severity of adverse effects can be increased when Clomipramine is combined with Canagliflozin.,Moderada,106
Aripiprazole,Canagliflozin,Aripiprazole may increase the hypotensive activities of Canagliflozin.,Moderada,70
Morphine,Canagliflozin,The risk or severity of adverse effects can be increased when Morphine is combined with Canagliflozin.,Moderada,102
Isradipine,Canagliflozin,The risk or severity of adverse effects can be increased when Isradipine is combined with Canagliflozin.,Moderada,104
Nicardipine,Canagliflozin,The risk or severity of adverse effects can be increased when Nicardipine is combined with Canagliflozin.,Moderada,105
Losartan,Canagliflozin,Losartan may increase the hyperkalemic activities of Canagliflozin.,Moderada,67
Efavirenz,Canagliflozin,The serum concentration of Canagliflozin can be decreased when it is combined with Efavirenz.,Moderada,93
Primidone,Apraclonidine,Primidone may increase the hypotensive activities of Apraclonidine.,Moderada,67
Phenobarbital,Apraclonidine,Phenobarbital may increase the hypotensive activities of Apraclonidine.,Moderada,71
Pentobarbital,Apraclonidine,Pentobarbital may increase the hypotensive activities of Apraclonidine.,Moderada,71
Bortezomib,Apraclonidine,The risk or severity of adverse effects can be increased when Bortezomib is combined with Apraclonidine.,Moderada,104
Betaxolol,Apraclonidine,The risk or severity of adverse effects can be increased when Betaxolol is combined with Apraclonidine.,Moderada,103
Oxprenolol,Apraclonidine,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Apraclonidine.,Moderada,104
Metoprolol,Apraclonidine,The risk or severity of adverse effects can be increased when Metoprolol is combined with Apraclonidine.,Moderada,104
Indapamide,Apraclonidine,The risk or severity of adverse effects can be increased when Indapamide is combined with Apraclonidine.,Moderada,104
Conivaptan,Apraclonidine,The risk or severity of adverse effects can be increased when Conivaptan is combined with Apraclonidine.,Moderada,104
Diltiazem,Apraclonidine,The risk or severity of adverse effects can be increased when Diltiazem is combined with Apraclonidine.,Moderada,103
Verapamil,Apraclonidine,The risk or severity of adverse effects can be increased when Verapamil is combined with Apraclonidine.,Moderada,103
Bromocriptine,Apraclonidine,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Apraclonidine.,Moderada,107
Amiodarone,Apraclonidine,The risk or severity of adverse effects can be increased when Amiodarone is combined with Apraclonidine.,Moderada,104
Thioridazine,Apraclonidine,The risk or severity of adverse effects can be increased when Thioridazine is combined with Apraclonidine.,Moderada,106
Clozapine,Apraclonidine,The risk or severity of adverse effects can be increased when Clozapine is combined with Apraclonidine.,Moderada,103
Chlorpromazine,Apraclonidine,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Apraclonidine.,Moderada,108
Secobarbital,Apraclonidine,Secobarbital may increase the hypotensive activities of Apraclonidine.,Moderada,70
Tranylcypromine,Apraclonidine,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Apraclonidine.,Moderada,109
Ropinirole,Apraclonidine,The risk or severity of adverse effects can be increased when Ropinirole is combined with Apraclonidine.,Moderada,104
Aripiprazole,Apraclonidine,Aripiprazole may increase the hypotensive activities of Apraclonidine.,Moderada,70
Morphine,Apraclonidine,The risk or severity of adverse effects can be increased when Morphine is combined with Apraclonidine.,Moderada,102
Isradipine,Apraclonidine,The risk or severity of adverse effects can be increased when Isradipine is combined with Apraclonidine.,Moderada,104
Nicardipine,Apraclonidine,The risk or severity of adverse effects can be increased when Nicardipine is combined with Apraclonidine.,Moderada,105
Losartan,Apraclonidine,The risk or severity of adverse effects can be increased when Losartan is combined with Apraclonidine.,Moderada,102
